"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"189","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1728305.6",47.33333,13.33333
"190","AT","Austria","Institute of Science and Technology Austria","1446542",47.33333,13.33333
"191","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","178156.8",47.33333,13.33333
"192","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4255743.75",47.33333,13.33333
"193","AT","Austria","UNIVERSITAET GRAZ","178156.8",47.33333,13.33333
"194","AT","Austria","TECHNISCHE UNIVERSITAET GRAZ","1175000",47.33333,13.33333
"195","AT","Austria","UNIVERSITAT FUR ANGEWANDTE KUNST WIEN","1224375",47.33333,13.33333
"196","AT","Austria","AUSTRIATECH - GESELLSCHAFT DES BUNDES FUR TECHNOLOGIEPOLITISCHE MASSNAHMEN GMBH","4899403.75",47.33333,13.33333
"197","AT","Austria","Institute of Science and Technology Austria","1996030",47.33333,13.33333
"198","AT","Austria","LUDWIG BOLTZMANN GESELLSCHAFT GMBH","1499500",47.33333,13.33333
"199","AT","Austria","GREGOR-MENDEL-INSTITUT FÜR MOLEKULARE PFLANZENBIOLOGIE GMBH","1500000",47.33333,13.33333
"200","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1499750",47.33333,13.33333
"201","AT","Austria","BIOS BIOENERGIESYSTEME GMBH","4997371.25",47.33333,13.33333
"202","AT","Austria","INFINEON TECHNOLOGIES AUSTRIA  AG","2466245",47.33333,13.33333
"203","AT","Austria","UNIVERSITAT WIEN","261208.8",47.33333,13.33333
"204","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"205","AT","Austria","UNIVERSITAT LINZ","2237875",47.33333,13.33333
"206","AT","Austria","X-NET TECHNOLOGIES GMBH","71429",47.33333,13.33333
"207","AT","Austria","EKEY BIOMETRIC SYSTEMS GMBH","71429",47.33333,13.33333
"208","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"209","AT","Austria","PIDSO -PROPAGATION IDEAS & SOLUTIONS GmbH","71429",47.33333,13.33333
"210","AT","Austria","WINDHAGER ZENTRALHEIZUNG TECHNIK GMBH","4309610",47.33333,13.33333
"211","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1630612.5",47.33333,13.33333
"212","AT","Austria","INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE","1069507.5",47.33333,13.33333
"213","AT","Austria","WINDHAGER ZENTRALHEIZUNG TECHNIK GMBH","5988163.75",47.33333,13.33333
"214","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4494087.5",47.33333,13.33333
